Symbol,Exchange,Company_Name,PE_Ratio,ROE,Debt_To_Equity,Revenue_Growth_YoY,Profit_Growth_YoY,Operating_Cashflow,Promoter_Holding,FII_DII_Pct,Public_Pct,Latest_Close,EMA_50,EMA_200,RSI_14,Trend
IDEA.NS,NSE,IDEA.NS,13.67,16.40%,0.38,12.80%,14.50%,"₹20,505,000",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
PCJEWELLER.NS,NSE,PCJEWELLER.NS,10.57,16.40%,0.38,12.80%,14.50%,"₹15,855,000",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
OLAELEC.NS,NSE,OLAELEC.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹60,975,002",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
YESBANK.NS,NSE,YESBANK.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹35,400,001",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
VOGL.NS,NSE,VOGL.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹55,034,998",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
VISL.NS,NSE,VISL.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹50,054,998",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
IFCI.NS,NSE,IFCI.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹111,209,999",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
SUZLON.NS,NSE,SUZLON.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹78,629,997",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
GTLINFRA.NS,NSE,GTLINFRA.NS,1.28,16.40%,0.38,12.80%,14.50%,"₹1,920,000",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
VEDPOWER.NS,NSE,VEDPOWER.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹58,770,000",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
JPPOWER.NS,NSE,JPPOWER.NS,16.75,16.40%,0.38,12.80%,14.50%,"₹25,125,000",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
EASEMYTRIP.NS,NSE,EASEMYTRIP.NS,6.80,16.40%,0.38,12.80%,14.50%,"₹10,200,000",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
ZEEL.NS,NSE,ZEEL.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹152,774,998",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
MOTISONS.NS,NSE,MOTISONS.NS,13.98,16.40%,0.38,12.80%,14.50%,"₹20,969,999",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
SUMEET-RE.NS,NSE,SUMEET-RE.NS,2.33,16.40%,0.38,12.80%,14.50%,"₹3,495,000",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
RPOWER.NS,NSE,RPOWER.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹36,495,000",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
HCC.NS,NSE,HCC.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹34,800,001",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
CUPID.NS,NSE,CUPID.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹329,490,005",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
GROWW.NS,NSE,GROWW.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹324,495,003",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
SEPC.NS,NSE,SEPC.NS,6.21,16.40%,0.38,12.80%,14.50%,"₹9,315,000",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
BHARATCOAL.NS,NSE,BHARATCOAL.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹55,185,001",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
HDFCBANK.NS,NSE,HDFCBANK.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹1,223,175,018",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
ETERNAL.NS,NSE,ETERNAL.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹442,199,982",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
MEESHO.NS,NSE,MEESHO.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹283,860,008",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
CANBK.NS,NSE,CANBK.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹189,705,002",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
ADANIPOWER.NS,NSE,ADANIPOWER.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹328,455,002",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
FILATFASH.NS,NSE,FILATFASH.NS,0.19,16.40%,0.38,12.80%,14.50%,"₹285,000",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
TATASTEEL.NS,NSE,TATASTEEL.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹277,889,992",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
HFCL.NS,NSE,HFCL.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹334,620,003",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
KALYANKJIL.NS,NSE,KALYANKJIL.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹822,149,963",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
IDBI.NS,NSE,IDBI.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹129,345,005",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
ASHOKLEY.NS,NSE,ASHOKLEY.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹234,780,006",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
PINELABS.NS,NSE,PINELABS.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹235,875,000",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
NHPC.NS,NSE,NHPC.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹118,634,995",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
GMRAIRPORT.NS,NSE,GMRAIRPORT.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹167,730,000",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
IDFCFIRSTB.NS,NSE,IDFCFIRSTB.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹119,205,002",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
WIPRO.NS,NSE,WIPRO.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹261,974,991",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
KUSUMGAR.NS,NSE,KUSUMGAR.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹904,199,982",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
LLOYDSENGG.NS,NSE,LLOYDSENGG.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹133,589,996",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
NMDC.NS,NSE,NMDC.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹127,334,999",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
VEDL.NS,NSE,VEDL.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹390,824,982",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
CCAVENUE.NS,NSE,CCAVENUE.NS,17.77,16.40%,0.38,12.80%,14.50%,"₹26,655,001",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
SOUTHBANK.NS,NSE,SOUTHBANK.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹68,280,001",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
MAHABANK.NS,NSE,MAHABANK.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹120,149,998",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
MOTHERSON.NS,NSE,MOTHERSON.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹213,165,001",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
MSUMI.NS,NSE,MSUMI.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹59,445,002",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
SAGILITY.NS,NSE,SAGILITY.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹63,105,000",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
PWL.NS,NSE,PWL.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹205,304,993",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
APOLLO.NS,NSE,APOLLO.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹607,125,000",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
PNB.NS,NSE,PNB.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹158,564,999",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
VAML.NS,NSE,VAML.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹674,400,009",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
DHARAN.NS,NSE,DHARAN.NS,0.15,16.40%,0.38,12.80%,14.50%,"₹225,000",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
KWIL.NS,NSE,KWIL.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹49,320,002",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
SAIL.NS,NSE,SAIL.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹246,959,999",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
KOTAKBANK.NS,NSE,KOTAKBANK.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹567,599,991",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
UNIONBANK.NS,NSE,UNIONBANK.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹258,570,007",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
PAISALO.NS,NSE,PAISALO.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹108,044,998",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
SWIGGY.NS,NSE,SWIGGY.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹405,134,995",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
ONGC.NS,NSE,ONGC.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹370,769,989",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
MOREPENLAB.NS,NSE,MOREPENLAB.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹91,860,003",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
CENTRALBK.NS,NSE,CENTRALBK.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹49,080,002",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
BANKBARODA.NS,NSE,BANKBARODA.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹372,224,991",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
UJJIVANSFB.NS,NSE,UJJIVANSFB.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹98,265,003",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
MCLOUD.NS,NSE,MCLOUD.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹44,219,999",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
RELIANCE.NS,NSE,RELIANCE.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹1,943,250,000",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
SAMMAANCAP.NS,NSE,SAMMAANCAP.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹245,294,998",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
KNACK.NS,NSE,KNACK.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹303,165,001",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
