SEM_EXM_EXCH_ID,SEM_SEGMENT,SEM_SMST_SECURITY_ID,SEM_INSTRUMENT_NAME,SEM_EXPIRY_CODE,SEM_TRADING_SYMBOL,SEM_LOT_UNITS,SEM_CUSTOM_SYMBOL,SEM_EXPIRY_DATE,SEM_STRIKE_PRICE,SEM_OPTION_TYPE,SEM_TICK_SIZE,SEM_EXPIRY_FLAG,SEM_EXCH_INSTRUMENT_TYPE,SEM_SERIES,SM_SYMBOL_NAME
BSE,C,1026077,FUTCUR,0,USDINR-28Aug2024-FUT,1.0,USDINR AUG FUT,2024-08-28 14:30:00,-0.01,XX,0.25,M,FUTCUR,,USDINR
BSE,C,1026078,FUTCUR,0,GBPINR-28Aug2024-FUT,1.0,GBPINR AUG FUT,2024-08-28 14:30:00,-0.01,XX,0.25,M,FUTCUR,,GBPINR
BSE,C,1026079,FUTCUR,0,EURINR-28Aug2024-FUT,1.0,EURINR AUG FUT,2024-08-28 14:30:00,-0.01,XX,0.25,M,FUTCUR,,EURINR
BSE,C,1026080,FUTCUR,0,JPYINR-28Aug2024-FUT,1.0,JPYINR AUG FUT,2024-08-28 14:30:00,-0.01,XX,0.25,M,FUTCUR,,JPYINR
BSE,C,1026081,FUTCUR,0,EURUSD-28Aug2024-FUT,1.0,EURUSD AUG FUT,2024-08-28 14:30:00,-0.01,XX,0.01,M,FUTCUR,,EURUSD
BSE,C,1026082,FUTCUR,0,GBPUSD-28Aug2024-FUT,1.0,GBPUSD AUG FUT,2024-08-28 14:30:00,-0.01,XX,0.01,M,FUTCUR,,GBPUSD
BSE,C,1026083,FUTCUR,0,USDJPY-28Aug2024-FUT,1.0,USDJPY AUG FUT,2024-08-28 14:30:00,-0.01,XX,1.0,M,FUTCUR,,USDJPY
BSE,C,1029516,FUTCUR,0,USDINR-26Sep2024-FUT,1.0,USDINR SEP FUT,2024-09-26 14:30:00,-0.01,XX,0.25,M,FUTCUR,,USDINR
BSE,C,1029517,FUTCUR,0,GBPINR-26Sep2024-FUT,1.0,GBPINR SEP FUT,2024-09-26 14:30:00,-0.01,XX,0.25,M,FUTCUR,,GBPINR
BSE,C,1029518,FUTCUR,0,EURINR-26Sep2024-FUT,1.0,EURINR SEP FUT,2024-09-26 14:30:00,-0.01,XX,0.25,M,FUTCUR,,EURINR
