Symbol,Exchange,Type,Zerodha,Groww,Dhan,INDmoney,Vantage
20MICRONS,NSE,Equity,Yes,Yes,Yes,Yes,N/A
21STCENMGM,NSE,Equity,Yes,Yes,Yes,Yes,N/A
360ONE,NSE,Equity,Yes,Yes,Yes,Yes,N/A
3BBLACKBIO,NSE,Equity,Yes,Yes,Yes,Yes,N/A
3IINFOLTD,NSE,Equity,Yes,Yes,Yes,Yes,N/A
3MINDIA,NSE,Equity,Yes,Yes,Yes,Yes,N/A
3PLAND,NSE,Equity,Yes,Yes,Yes,Yes,N/A
5PAISA,NSE,Equity,Yes,Yes,Yes,Yes,N/A
63MOONS,NSE,Equity,Yes,Yes,Yes,Yes,N/A
A2ZINFRA,NSE,Equity,Yes,Yes,Yes,Yes,N/A
AAATECH,NSE,Equity,Yes,Yes,Yes,Yes,N/A
AADHARHFC,NSE,Equity,Yes,Yes,Yes,Yes,N/A
AAKASH,NSE,Equity,Yes,Yes,Yes,Yes,N/A
AAREYDRUGS,NSE,Equity,Yes,Yes,Yes,Yes,N/A
AARNAV,NSE,Equity,Yes,Yes,Yes,Yes,N/A
AARON,NSE,Equity,Yes,Yes,Yes,Yes,N/A
AARTECH,NSE,Equity,Yes,Yes,Yes,Yes,N/A
AARTIDRUGS,NSE,Equity,Yes,Yes,Yes,Yes,N/A
AARTIIND,NSE,Equity,Yes,Yes,Yes,Yes,N/A
AARTIPHARM,NSE,Equity,Yes,Yes,Yes,Yes,N/A
AARTISURF,NSE,Equity,Yes,Yes,Yes,Yes,N/A
AARVI,NSE,Equity,Yes,Yes,Yes,Yes,N/A
AASTHA,NSE,Equity,Yes,Yes,Yes,Yes,N/A
AAVAS,NSE,Equity,Yes,Yes,Yes,Yes,N/A
ABAN,NSE,Equity,Yes,Yes,Yes,Yes,N/A
ABANSENT,NSE,Equity,Yes,Yes,Yes,Yes,N/A
ABB,NSE,Equity,Yes,Yes,Yes,Yes,N/A
ABBOTINDIA,NSE,Equity,Yes,Yes,Yes,Yes,N/A
ABCAPITAL,NSE,Equity,Yes,Yes,Yes,Yes,N/A
ABCOTS,NSE,Equity,Yes,Yes,Yes,Yes,N/A
ABDL,NSE,Equity,Yes,Yes,Yes,Yes,N/A
ABFRL,NSE,Equity,Yes,Yes,Yes,Yes,N/A
ABINFRA,NSE,Equity,Yes,Yes,Yes,Yes,N/A
ABLBL,NSE,Equity,Yes,Yes,Yes,Yes,N/A
ABMINTLLTD,NSE,Equity,Yes,Yes,Yes,Yes,N/A
ABMKNO,NSE,Equity,Yes,Yes,Yes,Yes,N/A
ABREL,NSE,Equity,Yes,Yes,Yes,Yes,N/A
ABSLAMC,NSE,Equity,Yes,Yes,Yes,Yes,N/A
ACC,NSE,Equity,Yes,Yes,Yes,Yes,N/A
ACCELYA,NSE,Equity,Yes,Yes,Yes,Yes,N/A
ACCURACY,NSE,Equity,Yes,Yes,Yes,Yes,N/A
ACE,NSE,Equity,Yes,Yes,Yes,Yes,N/A
ACEINTEG,NSE,Equity,Yes,Yes,Yes,Yes,N/A
ACI,NSE,Equity,Yes,Yes,Yes,Yes,N/A
ACL,NSE,Equity,Yes,Yes,Yes,Yes,N/A
ACMESOLAR,NSE,Equity,Yes,Yes,Yes,Yes,N/A
ACSTECH,NSE,Equity,Yes,Yes,Yes,Yes,N/A
ACUTAAS,NSE,Equity,Yes,Yes,Yes,Yes,N/A
ADANIENSOL,NSE,Equity,Yes,Yes,Yes,Yes,N/A
ADANIENT,NSE,Equity,Yes,Yes,Yes,Yes,N/A
ADANIGREEN,NSE,Equity,Yes,Yes,Yes,Yes,N/A
ADANIPORTS,NSE,Equity,Yes,Yes,Yes,Yes,N/A
ADANIPOWER,NSE,Equity,Yes,Yes,Yes,Yes,N/A
ADFFOODS,NSE,Equity,Yes,Yes,Yes,Yes,N/A
ADL,NSE,Equity,Yes,Yes,Yes,Yes,N/A
ADOR,NSE,Equity,Yes,Yes,Yes,Yes,N/A
ADROITINFO,NSE,Equity,Yes,Yes,Yes,Yes,N/A
ADSL,NSE,Equity,Yes,Yes,Yes,Yes,N/A
ADVAIT,NSE,Equity,Yes,Yes,Yes,Yes,N/A
ADVANCE,NSE,Equity,Yes,Yes,Yes,Yes,N/A
ADVANIHOTR,NSE,Equity,Yes,Yes,Yes,Yes,N/A
ADVENTHTL,NSE,Equity,Yes,Yes,Yes,Yes,N/A
ADVENZYMES,NSE,Equity,Yes,Yes,Yes,Yes,N/A
AEGISLOG,NSE,Equity,Yes,Yes,Yes,Yes,N/A
AEGISVOPAK,NSE,Equity,Yes,Yes,Yes,Yes,N/A
AEPL,NSE,Equity,Yes,Yes,Yes,Yes,N/A
AEQUS,NSE,Equity,Yes,Yes,Yes,Yes,N/A
AEROENTER,NSE,Equity,Yes,Yes,Yes,Yes,N/A
AEROFLEX,NSE,Equity,Yes,Yes,Yes,Yes,N/A
AERONEU,NSE,Equity,Yes,Yes,Yes,Yes,N/A
AETHER,NSE,Equity,Yes,Yes,Yes,Yes,N/A
AFCONS,NSE,Equity,Yes,Yes,Yes,Yes,N/A
AFFLE,NSE,Equity,Yes,Yes,Yes,Yes,N/A
AFFORDABLE,NSE,Equity,Yes,Yes,Yes,Yes,N/A
AFIL,NSE,Equity,Yes,Yes,Yes,Yes,N/A
AFSL,NSE,Equity,Yes,Yes,Yes,Yes,N/A
